segment,segment_start,segment_end,asset_target,task,model,n_test,direction_accuracy,balanced_direction_accuracy,MAE,RMSE,interval_90pct_coverage,interval_90pct_avg_width,interval_90pct_median_width,interval_90pct_avg_half_width,interval_width_to_mae
2008_2015,2008-01-01,2015-12-31,GLD_ret,regression,baseline,35,0.6285714285714286,0.5833333333333334,0.0109008640156956,0.0148485109246516,0.8857142857142857,0.058588744273371,0.0448528573488418,0.0292943721366855,5.374688115456896
2008_2015,2008-01-01,2015-12-31,GLD_ret,regression,shock_main,35,0.4285714285714285,0.3928571428571428,0.0139773556475442,0.0171074902446991,0.8,0.0589337474703936,0.0448528573488418,0.0294668737351968,4.216373179339411
2008_2015,2008-01-01,2015-12-31,GLD_ret,regression,shock_interactions,35,0.4857142857142857,0.4642857142857143,0.0141076232511138,0.0180530538480935,0.8285714285714286,0.0561542171516366,0.0448528573488418,0.0280771085758183,3.980416555793912
2008_2015,2008-01-01,2015-12-31,GLD_ret,regression,rag_memory,35,0.5428571428571428,0.5238095238095238,0.0118027210191818,0.0160510274729337,0.8571428571428571,0.0591019372140636,0.0448528573488418,0.0295509686070318,5.0074840469423085
2008_2015,2008-01-01,2015-12-31,GLD_ret,regression,shock_rag,35,0.5142857142857142,0.4880952380952381,0.0141592994348123,0.0176742429497426,0.8285714285714286,0.0553076857717153,0.0448528573488418,0.0276538428858576,3.906103266361809
2008_2015,2008-01-01,2015-12-31,GLD_ret,regression,case_model,35,0.3714285714285714,0.369047619047619,0.0132809152351159,0.0170689336336113,0.8857142857142857,0.0617935532329234,0.0448528573488418,0.0308967766164617,4.652808344829706
2008_2015,2008-01-01,2015-12-31,GLD_ret,regression,fusion,35,0.4857142857142857,0.4880952380952381,0.0150307222571907,0.0188391715092062,0.8285714285714286,0.0598534465764032,0.0448528573488418,0.0299267232882016,3.98207388522325
2008_2015,2008-01-01,2015-12-31,GLD_ret,regression,fusion_case,35,0.4857142857142857,0.4880952380952381,0.0140989385361452,0.018117021244229,0.8,0.0575517305171648,0.0448528573488418,0.0287758652585824,4.081990312222453
2008_2015,2008-01-01,2015-12-31,QQQ_ret,regression,baseline,63,0.5396825396825397,0.5266304347826087,0.0141900008248399,0.0194540556992039,0.9365079365079364,0.0877129065970027,0.07858762958306,0.0438564532985013,6.181317935053211
2008_2015,2008-01-01,2015-12-31,QQQ_ret,regression,shock_main,63,0.5079365079365079,0.4831521739130434,0.0175262950203856,0.0239648897569618,0.9206349206349206,0.0986999046164382,0.0789702942779633,0.0493499523082191,5.631532762722277
2008_2015,2008-01-01,2015-12-31,QQQ_ret,regression,shock_interactions,63,0.4285714285714285,0.3929347826086956,0.0173910600171349,0.0244664553539293,0.9047619047619048,0.1015602288069947,0.0912575268799106,0.0507801144034973,5.839795199771047
2008_2015,2008-01-01,2015-12-31,QQQ_ret,regression,rag_memory,63,0.5714285714285714,0.5701086956521739,0.0161744736570172,0.0229958957187298,0.8888888888888888,0.1042795423053902,0.0889915530456444,0.0521397711526951,6.4471675874379395
2008_2015,2008-01-01,2015-12-31,QQQ_ret,regression,shock_rag,63,0.4444444444444444,0.4146739130434783,0.0190008395041091,0.025253167360806,0.9047619047619048,0.1080113246663779,0.0837943002666051,0.0540056623331889,5.684555392566685
2008_2015,2008-01-01,2015-12-31,QQQ_ret,regression,case_model,63,0.5238095238095238,0.4864130434782608,0.0119466758938935,0.0167083509243368,0.9523809523809524,0.0831647199917615,0.0631578772004343,0.0415823599958807,6.961327211887516
2008_2015,2008-01-01,2015-12-31,QQQ_ret,regression,fusion,63,0.3968253968253968,0.3679347826086956,0.019298786282493,0.0261258979570064,0.873015873015873,0.1091499926555926,0.0916569097896671,0.0545749963277963,5.655795709526484
2008_2015,2008-01-01,2015-12-31,QQQ_ret,regression,fusion_case,63,0.3968253968253968,0.3679347826086956,0.0187141421702389,0.0249777206400784,0.8888888888888888,0.1029888837608662,0.0877997510970121,0.0514944418804331,5.503265008034903
2008_2015,2008-01-01,2015-12-31,SPY_ret,regression,baseline,63,0.6507936507936508,0.6137820512820513,0.0121699254329678,0.016870906910567,0.9206349206349206,0.0745334990378586,0.0668462339415064,0.0372667495189293,6.124400634037579
2008_2015,2008-01-01,2015-12-31,SPY_ret,regression,shock_main,63,0.4761904761904761,0.4407051282051282,0.0135416020216482,0.0180899576175573,0.9206349206349206,0.0768770342491908,0.0737270084611446,0.0384385171245954,5.677100399664052
2008_2015,2008-01-01,2015-12-31,SPY_ret,regression,shock_interactions,63,0.4761904761904761,0.4407051282051282,0.0141549129624982,0.0185357732067117,0.9047619047619048,0.0777692031790338,0.076619589723191,0.0388846015895169,5.49414916114809
2008_2015,2008-01-01,2015-12-31,SPY_ret,regression,rag_memory,63,0.5873015873015873,0.5625,0.0131707639047527,0.0186772994511895,0.8888888888888888,0.0819466076956346,0.0659005049836274,0.0409733038478173,6.2218568557032174
2008_2015,2008-01-01,2015-12-31,SPY_ret,regression,shock_rag,63,0.5396825396825397,0.5240384615384616,0.0135267985454726,0.0178974304028316,0.9047619047619048,0.0731367291505898,0.0605720878913681,0.0365683645752949,5.406802570817344
2008_2015,2008-01-01,2015-12-31,SPY_ret,regression,case_model,63,0.5238095238095238,0.4791666666666666,0.0109185807697427,0.0152116231157715,0.9682539682539684,0.0736469915736205,0.0792932622553189,0.0368234957868102,6.745106633062495
