asset_target,task,model,n_test,direction_accuracy,balanced_direction_accuracy,MAE,RMSE,interval_90pct_coverage,interval_90pct_avg_width,interval_90pct_median_width,interval_90pct_avg_half_width,interval_width_to_mae
GLD_ret,regression,baseline,120,0.55,0.5,0.0098714302559024,0.0128875977037458,0.9166666666666666,0.0457417764182371,0.0413365849673364,0.0228708882091185,4.6337536944949385
GLD_ret,regression,shock_main,120,0.55,0.5,0.0098714302559024,0.0128875977037458,0.9166666666666666,0.0457417764182371,0.0413365849673364,0.0228708882091185,4.6337536944949385
GLD_ret,regression,shock_interactions,120,0.55,0.5,0.0098714302559024,0.0128875977037458,0.9166666666666666,0.0457417764182371,0.0413365849673364,0.0228708882091185,4.6337536944949385
GLD_ret,regression,rag_memory,120,0.55,0.5,0.0098714302559024,0.0128875977037458,0.9166666666666666,0.0457417764182371,0.0413365849673364,0.0228708882091185,4.6337536944949385
GLD_ret,regression,shock_rag,120,0.55,0.5,0.0098714302559024,0.0128875977037458,0.9166666666666666,0.0457417764182371,0.0413365849673364,0.0228708882091185,4.6337536944949385
GLD_ret,regression,case_model,120,0.55,0.531986531986532,0.0107022830504524,0.0141949941016342,0.9166666666666666,0.055037076768084,0.0535450624912698,0.027518538384042,5.142554771596807
GLD_ret,regression,fusion,120,0.55,0.5,0.0098714302559024,0.0128875977037458,0.9166666666666666,0.0457417764182371,0.0413365849673364,0.0228708882091185,4.6337536944949385
GLD_ret,regression,fusion_case,120,0.4833333333333333,0.4545454545454545,0.0099218032914785,0.0130230726787355,0.9083333333333332,0.0476539572652619,0.04297142312517,0.0238269786326309,4.802953239981076
QQQ_ret,regression,baseline,148,0.5743243243243243,0.5,0.0119330836440839,0.0188834538115927,0.8851351351351351,0.0692443722880566,0.0626130526315789,0.0346221861440283,5.802722444033632
QQQ_ret,regression,shock_main,148,0.5743243243243243,0.5,0.0119330836440839,0.0188834538115927,0.8851351351351351,0.0692443722880566,0.0626130526315789,0.0346221861440283,5.802722444033632
QQQ_ret,regression,shock_interactions,148,0.5743243243243243,0.5,0.0119326031666617,0.0188833255465607,0.8851351351351351,0.0692443722880566,0.0626130526315789,0.0346221861440283,5.802956096077754
QQQ_ret,regression,rag_memory,148,0.5743243243243243,0.5,0.0119405078027269,0.0188986885617577,0.8851351351351351,0.0693083322402613,0.0626130526315789,0.0346541661201306,5.804471081576039
QQQ_ret,regression,shock_rag,148,0.5743243243243243,0.5,0.0119405078027269,0.0188986885617577,0.8851351351351351,0.0693083322402613,0.0626130526315789,0.0346541661201306,5.804471081576039
QQQ_ret,regression,case_model,148,0.4189189189189189,0.3996265172735761,0.0134337723610163,0.020323200663934,0.8986486486486487,0.0716071430122966,0.0631578772004343,0.0358035715061483,5.3303823444332235
QQQ_ret,regression,fusion,148,0.5743243243243243,0.5,0.0119400273253047,0.0188985604001244,0.8851351351351351,0.0693083322402613,0.0626130526315789,0.0346541661201306,5.804704658705007
QQQ_ret,regression,fusion_case,148,0.5337837837837838,0.4688141923436041,0.0120417684836149,0.0188575184597427,0.8918918918918919,0.0673074828589807,0.0598736480110943,0.0336537414294903,5.589501488138142
SPY_ret,regression,baseline,148,0.527027027027027,0.5,0.0104536423181838,0.016357098208456,0.8851351351351351,0.0582914548776647,0.0514722068976696,0.0291457274388323,5.5761860893469075
SPY_ret,regression,shock_main,148,0.527027027027027,0.5,0.0104536423181838,0.016357098208456,0.8851351351351351,0.0582914548776647,0.0514722068976696,0.0291457274388323,5.5761860893469075
SPY_ret,regression,shock_interactions,148,0.5202702702702703,0.4935897435897436,0.0104621714168403,0.0163910137541981,0.8851351351351351,0.0585444009294943,0.0514722068976696,0.0292722004647471,5.59581740701158
SPY_ret,regression,rag_memory,148,0.527027027027027,0.5,0.010469873812584,0.0163821631194327,0.8851351351351351,0.0584103536172091,0.0514722068976696,0.0292051768086045,5.578897574391404
SPY_ret,regression,shock_rag,148,0.527027027027027,0.5,0.010469873812584,0.0163821631194327,0.8851351351351351,0.0584103536172091,0.0514722068976696,0.0292051768086045,5.578897574391404
SPY_ret,regression,case_model,148,0.4256756756756756,0.4199633699633699,0.0116331351065113,0.017757376920215,0.9121621621621622,0.0597687806607549,0.0504465275472083,0.0298843903303774,5.13780508122017
SPY_ret,regression,fusion,148,0.5202702702702703,0.4935897435897436,0.010477967194895,0.016415696771343,0.8851351351351351,0.0586659211483997,0.0514722068976696,0.0293329605741998,5.598979273096263
SPY_ret,regression,fusion_case,148,0.5067567567567568,0.4829670329670329,0.0105922993436329,0.0163820745510971,0.9054054054054054,0.0571045116527414,0.0493117170170821,0.0285522558263707,5.391134615834555
UUP_ret,regression,baseline,107,0.5233644859813084,0.5178189593727727,0.0052639474950887,0.0068598170086249,0.9626168224299064,0.0239754713599458,0.0223672205882352,0.0119877356799729,4.554656250335907
UUP_ret,regression,shock_main,107,0.5420560747663551,0.544903777619387,0.0052744483208834,0.0068078406334814,0.9532710280373832,0.0236820570520148,0.0223672205882352,0.0118410285260074,4.489959065149845
UUP_ret,regression,shock_interactions,107,0.5420560747663551,0.5395580898075552,0.0052757440001059,0.0067653676769389,0.9626168224299064,0.024518665971118,0.0227109642857142,0.012259332985559,4.647432849400101
UUP_ret,regression,rag_memory,107,0.5046728971962616,0.5014255167498218,0.0053513865245545,0.0070382478995576,0.9439252336448598,0.0242113867451567,0.0225309447794554,0.0121056933725783,4.5243203110192205
UUP_ret,regression,shock_rag,107,0.4859813084112149,0.4743406985032073,0.0054304694340786,0.0069514699706255,0.9345794392523364,0.0241614746772847,0.0227109642857142,0.0120807373386423,4.449242366720729
UUP_ret,regression,case_model,107,0.514018691588785,0.48823948681397,0.0055622920099354,0.0071346929982869,0.9345794392523364,0.0256542193717889,0.0239841120785313,0.0128271096858944,4.612166949517379
UUP_ret,regression,fusion,107,0.5233644859813084,0.509800427655025,0.0053209231245781,0.0068506506257763,0.9439252336448598,0.0240741958140004,0.0227109642857142,0.0120370979070002,4.524439697840775
UUP_ret,regression,fusion_case,107,0.5700934579439252,0.550784034212402,0.0052159876469838,0.0066401109373437,0.9345794392523364,0.023632166008151,0.0214344130659117,0.0118160830040755,4.530717403408055
