asset_target,task,model,accuracy_increment_vs_baseline,MAE_change_vs_baseline,MAE_not_worse_than_baseline
GLD_ret,regression,baseline,0.0,0.0,True
GLD_ret,regression,shock_main,0.0,0.0,True
GLD_ret,regression,shock_interactions,0.0,0.0,True
GLD_ret,regression,rag_memory,0.0,0.0,True
GLD_ret,regression,shock_rag,0.0,0.0,True
GLD_ret,regression,case_model,0.0,0.00083085279455,False
GLD_ret,regression,fusion,0.0,0.0,True
GLD_ret,regression,fusion_case,-0.0666666666666667,5.0373035576116096e-05,False
QQQ_ret,regression,baseline,0.0,0.0,True
QQQ_ret,regression,shock_main,0.0,0.0,True
QQQ_ret,regression,shock_interactions,0.0,-4.804774221892072e-07,True
QQQ_ret,regression,rag_memory,0.0,7.424158642937995e-06,False
QQQ_ret,regression,shock_rag,0.0,7.424158642937995e-06,False
QQQ_ret,regression,case_model,-0.1554054054054054,0.0015006887169323,False
QQQ_ret,regression,fusion,0.0,6.9436812207487875e-06,False
QQQ_ret,regression,fusion_case,-0.0405405405405405,0.0001086848395309,False
SPY_ret,regression,baseline,0.0,0.0,True
SPY_ret,regression,shock_main,0.0,0.0,True
SPY_ret,regression,shock_interactions,-0.0067567567567566,8.529098656555323e-06,False
SPY_ret,regression,rag_memory,0.0,1.6231494400211974e-05,False
SPY_ret,regression,shock_rag,0.0,1.6231494400211974e-05,False
SPY_ret,regression,case_model,-0.1013513513513513,0.0011794927883275,False
SPY_ret,regression,fusion,-0.0067567567567566,2.43248767111872e-05,False
SPY_ret,regression,fusion_case,-0.0202702702702701,0.0001386570254491,False
UUP_ret,regression,baseline,0.0,0.0,True
UUP_ret,regression,shock_main,0.0186915887850467,1.0500825794697471e-05,False
UUP_ret,regression,shock_interactions,0.0186915887850467,1.1796505017265537e-05,False
UUP_ret,regression,rag_memory,-0.0186915887850467,8.74390294658342e-05,False
UUP_ret,regression,shock_rag,-0.0373831775700934,0.0001665219389899,False
UUP_ret,regression,case_model,-0.0093457943925233,0.0002983445148467,False
UUP_ret,regression,fusion,0.0,5.6975629489447455e-05,False
UUP_ret,regression,fusion_case,0.0467289719626168,-4.79598481048938e-05,True
