segment,segment_start,segment_end,asset_target,task,model,n_test,direction_accuracy,balanced_direction_accuracy,MAE,RMSE,interval_90pct_coverage,interval_90pct_avg_width,interval_90pct_median_width,interval_90pct_avg_half_width,interval_width_to_mae
2008_2015,2008-01-01,2015-12-31,GLD_ret,regression,baseline,35,0.4,0.5,0.0107860070117942,0.0137505941868909,0.9142857142857144,0.0553849738697762,0.0448528573488418,0.0276924869348881,5.134891328108158
2008_2015,2008-01-01,2015-12-31,GLD_ret,regression,shock_main,35,0.4,0.5,0.0107860070117942,0.0137505941868909,0.9142857142857144,0.0553849738697762,0.0448528573488418,0.0276924869348881,5.134891328108158
2008_2015,2008-01-01,2015-12-31,GLD_ret,regression,shock_interactions,35,0.4,0.5,0.0107860070117942,0.0137505941868909,0.9142857142857144,0.0553849738697762,0.0448528573488418,0.0276924869348881,5.134891328108158
2008_2015,2008-01-01,2015-12-31,GLD_ret,regression,rag_memory,35,0.4,0.5,0.0107860070117942,0.0137505941868909,0.9142857142857144,0.0553849738697762,0.0448528573488418,0.0276924869348881,5.134891328108158
2008_2015,2008-01-01,2015-12-31,GLD_ret,regression,shock_rag,35,0.4,0.5,0.0107860070117942,0.0137505941868909,0.9142857142857144,0.0553849738697762,0.0448528573488418,0.0276924869348881,5.134891328108158
2008_2015,2008-01-01,2015-12-31,GLD_ret,regression,case_model,35,0.3714285714285714,0.369047619047619,0.0132809152351159,0.0170689336336113,0.8857142857142857,0.0617935532329234,0.0448528573488418,0.0308967766164617,4.652808344829706
2008_2015,2008-01-01,2015-12-31,GLD_ret,regression,fusion,35,0.4,0.5,0.0107860070117942,0.0137505941868909,0.9142857142857144,0.0553849738697762,0.0448528573488418,0.0276924869348881,5.134891328108158
2008_2015,2008-01-01,2015-12-31,GLD_ret,regression,fusion_case,35,0.2857142857142857,0.2976190476190476,0.0115280383399198,0.0145480985240466,0.8857142857142857,0.0571854415815537,0.0448528573488418,0.0285927207907768,4.960552688615633
2008_2015,2008-01-01,2015-12-31,QQQ_ret,regression,baseline,63,0.6349206349206349,0.5,0.0112364187575367,0.0169863810235144,0.9206349206349206,0.0861562823763309,0.089239603960396,0.0430781411881654,7.667592694384252
2008_2015,2008-01-01,2015-12-31,QQQ_ret,regression,shock_main,63,0.6349206349206349,0.5,0.0112364187575367,0.0169863810235144,0.9206349206349206,0.0861562823763309,0.089239603960396,0.0430781411881654,7.667592694384252
2008_2015,2008-01-01,2015-12-31,QQQ_ret,regression,shock_interactions,63,0.6349206349206349,0.5,0.0112352900169258,0.0169860460481905,0.9206349206349206,0.0861562823763309,0.089239603960396,0.0430781411881654,7.668363010348383
2008_2015,2008-01-01,2015-12-31,QQQ_ret,regression,rag_memory,63,0.6349206349206349,0.5,0.0112538596381582,0.017026137171239,0.9206349206349206,0.0863065375021451,0.089239603960396,0.0431532687510725,7.66906112899322
2008_2015,2008-01-01,2015-12-31,QQQ_ret,regression,shock_rag,63,0.6349206349206349,0.5,0.0112538596381582,0.017026137171239,0.9206349206349206,0.0863065375021451,0.089239603960396,0.0431532687510725,7.66906112899322
2008_2015,2008-01-01,2015-12-31,QQQ_ret,regression,case_model,63,0.5238095238095238,0.4864130434782608,0.0119466758938935,0.0167083509243368,0.9523809523809524,0.0831647199917615,0.0631578772004343,0.0415823599958807,6.961327211887516
2008_2015,2008-01-01,2015-12-31,QQQ_ret,regression,fusion,63,0.6349206349206349,0.5,0.0112527308975473,0.0170258029781002,0.9206349206349206,0.0863065375021451,0.089239603960396,0.0431532687510725,7.669830398321908
2008_2015,2008-01-01,2015-12-31,QQQ_ret,regression,fusion_case,63,0.6190476190476191,0.4967391304347825,0.0110705929664168,0.0164020584037506,0.9523809523809524,0.0833933789110315,0.0760996407838528,0.0416966894555157,7.532873728083867
2008_2015,2008-01-01,2015-12-31,SPY_ret,regression,baseline,63,0.6190476190476191,0.5,0.0110950477111835,0.0156621371316654,0.9206349206349206,0.0736862549248117,0.082067912087912,0.0368431274624058,6.641364403556161
2008_2015,2008-01-01,2015-12-31,SPY_ret,regression,shock_main,63,0.6190476190476191,0.5,0.0110950477111835,0.0156621371316654,0.9206349206349206,0.0736862549248117,0.082067912087912,0.0368431274624058,6.641364403556161
2008_2015,2008-01-01,2015-12-31,SPY_ret,regression,shock_interactions,63,0.6031746031746031,0.4871794871794871,0.0111150843239005,0.0157452130108361,0.9206349206349206,0.0742804773957764,0.082067912087912,0.0371402386978882,6.682853249799705
