asset_target,task,model,n_test,direction_accuracy,balanced_direction_accuracy,MAE,RMSE,interval_90pct_coverage,interval_90pct_avg_width,interval_90pct_median_width,interval_90pct_avg_half_width,interval_width_to_mae
GLD_ret,regression,baseline,120,0.5916666666666667,0.5614478114478114,0.009736209576383,0.0128101681538978,0.9166666666666666,0.0455917821431766,0.0403045454545454,0.0227958910715883,4.682703446911
GLD_ret,regression,shock_main,120,0.5083333333333333,0.4823232323232323,0.0100148446174633,0.0128812064150159,0.9166666666666666,0.0463906888371018,0.0422821191640049,0.0231953444185509,4.632192571036827
GLD_ret,regression,shock_interactions,120,0.4583333333333333,0.4402356902356902,0.0103403799277301,0.0130865879923472,0.9166666666666666,0.0465317060251531,0.0424401982112859,0.0232658530125765,4.499999647050441
GLD_ret,regression,rag_memory,120,0.5833333333333334,0.5538720538720538,0.0097178980688573,0.0127090984467774,0.925,0.0458045429465326,0.041335409024938,0.0229022714732663,4.713420805814064
GLD_ret,regression,shock_rag,120,0.5333333333333333,0.5084175084175084,0.009904990856192,0.0128785249535007,0.9083333333333332,0.0461992555189524,0.0428395294117647,0.0230996277594762,4.664240097715128
GLD_ret,regression,case_model,120,0.55,0.531986531986532,0.0107022830504524,0.0141949941016342,0.9166666666666666,0.055037076768084,0.0535450624912698,0.027518538384042,5.142554771596807
GLD_ret,regression,fusion,120,0.5,0.4797979797979798,0.0101167364301714,0.0129801962944759,0.925,0.0461696267827228,0.04257865,0.0230848133913614,4.5636878158681515
GLD_ret,regression,fusion_case,120,0.5083333333333333,0.4873737373737374,0.0101344590413911,0.0130297140077913,0.9166666666666666,0.047680101180914,0.0435417139486994,0.023840050590457,4.704750493951261
QQQ_ret,regression,baseline,148,0.5608108108108109,0.4902894491129785,0.0121008979995796,0.0190531302370667,0.8851351351351351,0.0699848739721182,0.0626130526315789,0.0349924369860591,5.783444664565315
QQQ_ret,regression,shock_main,148,0.5675675675675675,0.5002801120448179,0.0119689999707086,0.019078024543561,0.8851351351351351,0.0708909674495143,0.0624556954775395,0.0354454837247571,5.922881412231915
QQQ_ret,regression,shock_interactions,148,0.5743243243243243,0.5082166199813258,0.0119978658668322,0.019264704205483,0.8851351351351351,0.0721196992151467,0.0623506301976064,0.0360598496075733,6.0110439652871435
QQQ_ret,regression,rag_memory,148,0.5472972972972973,0.4764705882352941,0.0121889686101141,0.0195729091225026,0.8851351351351351,0.0737594482879364,0.0626130526315789,0.0368797241439682,6.051328102259013
QQQ_ret,regression,shock_rag,148,0.5472972972972973,0.4785247432306255,0.0123084220658241,0.0197697316590598,0.8851351351351351,0.0749625766876881,0.0624556954775395,0.037481288343844,6.090348241780788
QQQ_ret,regression,case_model,148,0.4189189189189189,0.3996265172735761,0.0134337723610163,0.020323200663934,0.8986486486486487,0.0716071430122966,0.0631578772004343,0.0358035715061483,5.3303823444332235
