segment,segment_start,segment_end,asset_target,task,model,n_test,direction_accuracy,balanced_direction_accuracy,MAE,RMSE,interval_90pct_coverage,interval_90pct_avg_width,interval_90pct_median_width,interval_90pct_avg_half_width,interval_width_to_mae
2008_2015,2008-01-01,2015-12-31,GLD_ret,regression,baseline,35,0.5714285714285714,0.5476190476190476,0.0103303105918114,0.0136372041732768,0.9428571428571428,0.0570782123709052,0.0448528573488418,0.0285391061854526,5.525314254941118
2008_2015,2008-01-01,2015-12-31,GLD_ret,regression,shock_main,35,0.4571428571428571,0.4523809523809523,0.0106277461155956,0.0137095411855636,0.9142857142857144,0.0563102904770399,0.0448528573488418,0.0281551452385199,5.298422625509228
2008_2015,2008-01-01,2015-12-31,GLD_ret,regression,shock_interactions,35,0.4285714285714285,0.4166666666666666,0.0107983680373354,0.0138902461079141,0.9142857142857144,0.0560507549292023,0.0448528573488418,0.0280253774646011,5.190669065492692
2008_2015,2008-01-01,2015-12-31,GLD_ret,regression,rag_memory,35,0.5142857142857142,0.4880952380952381,0.0104610407361191,0.0136148171918403,0.9428571428571428,0.0559820107396813,0.0448528573488418,0.0279910053698406,5.351476220371689
2008_2015,2008-01-01,2015-12-31,GLD_ret,regression,shock_rag,35,0.5142857142857142,0.5119047619047619,0.0103653413233822,0.0135652695510031,0.9142857142857144,0.0550795783810544,0.0448528573488418,0.0275397891905272,5.31382196327729
2008_2015,2008-01-01,2015-12-31,GLD_ret,regression,case_model,35,0.3714285714285714,0.369047619047619,0.0132809152351159,0.0170689336336113,0.8857142857142857,0.0617935532329234,0.0448528573488418,0.0308967766164617,4.652808344829706
2008_2015,2008-01-01,2015-12-31,GLD_ret,regression,fusion,35,0.4571428571428571,0.4523809523809523,0.0106446303956685,0.0136664160844443,0.9142857142857144,0.055076310156464,0.0448528573488418,0.027538155078232,5.174093238490972
2008_2015,2008-01-01,2015-12-31,GLD_ret,regression,fusion_case,35,0.4285714285714285,0.4285714285714285,0.0113721713762308,0.0144058941409358,0.9142857142857144,0.0569216124806045,0.0448528573488418,0.0284608062403022,5.005342480115728
2008_2015,2008-01-01,2015-12-31,QQQ_ret,regression,baseline,63,0.6031746031746031,0.4842391304347826,0.0116306493069552,0.0174258098788573,0.9206349206349206,0.0877770067250229,0.089239603960396,0.0438885033625114,7.547042680801256
2008_2015,2008-01-01,2015-12-31,QQQ_ret,regression,shock_main,63,0.6190476190476191,0.5059782608695652,0.0113299584917491,0.0173623773043871,0.9206349206349206,0.0893242319097663,0.0937733291333088,0.0446621159548831,7.883897542503352
2008_2015,2008-01-01,2015-12-31,QQQ_ret,regression,shock_interactions,63,0.6190476190476191,0.5059782608695652,0.0115996133236631,0.0179339684283428,0.9206349206349206,0.0915726382874434,0.091379004902056,0.0457863191437217,7.894456110932197
2008_2015,2008-01-01,2015-12-31,QQQ_ret,regression,rag_memory,63,0.5714285714285714,0.45,0.0118648529208155,0.0187344861534785,0.9206349206349206,0.0949596202303018,0.0881014128464669,0.0474798101151509,8.00343846350646
2008_2015,2008-01-01,2015-12-31,QQQ_ret,regression,shock_rag,63,0.5714285714285714,0.45,0.0121373354489875,0.0190994040672028,0.9206349206349206,0.0970036085230926,0.0924781572874924,0.0485018042615463,7.992166726444417
2008_2015,2008-01-01,2015-12-31,QQQ_ret,regression,case_model,63,0.5238095238095238,0.4864130434782608,0.0119466758938935,0.0167083509243368,0.9523809523809524,0.0831647199917615,0.0631578772004343,0.0415823599958807,6.961327211887516
2008_2015,2008-01-01,2015-12-31,QQQ_ret,regression,fusion,63,0.5714285714285714,0.45,0.0123987627622957,0.0198132660684434,0.9206349206349206,0.1001276435186715,0.0893544112613528,0.0500638217593357,8.07561572378468
2008_2015,2008-01-01,2015-12-31,QQQ_ret,regression,fusion_case,63,0.5873015873015873,0.4625,0.0122083199856499,0.0189579415811297,0.9365079365079364,0.0974869515775028,0.0898483093762239,0.0487434757887514,7.985288040622444
2008_2015,2008-01-01,2015-12-31,SPY_ret,regression,baseline,63,0.6349206349206349,0.5208333333333334,0.0110177414093201,0.0156478439906991,0.9206349206349206,0.0740550811311111,0.082067912087912,0.0370275405655555,6.721439393056199
2008_2015,2008-01-01,2015-12-31,SPY_ret,regression,shock_main,63,0.6349206349206349,0.5208333333333334,0.0110316244268178,0.0156383662579285,0.9206349206349206,0.0740550811311111,0.082067912087912,0.0370275405655555,6.712980633303992
2008_2015,2008-01-01,2015-12-31,SPY_ret,regression,shock_interactions,63,0.6190476190476191,0.5080128205128205,0.0111659444644144,0.0159949385408602,0.9206349206349206,0.0757062843695911,0.082067912087912,0.0378531421847955,6.780105759155895
2008_2015,2008-01-01,2015-12-31,SPY_ret,regression,rag_memory,63,0.6031746031746031,0.4871794871794871,0.0111973831229858,0.0159047087766134,0.9206349206349206,0.0752690908340284,0.082067912087912,0.0376345454170142,6.722025138134016
2008_2015,2008-01-01,2015-12-31,SPY_ret,regression,shock_rag,63,0.6031746031746031,0.4871794871794871,0.0111791716329147,0.0158778644971101,0.9206349206349206,0.0752690908340284,0.082067912087912,0.0376345454170142,6.732975689577417
2008_2015,2008-01-01,2015-12-31,SPY_ret,regression,case_model,63,0.5238095238095238,0.4791666666666666,0.0109185807697427,0.0152116231157715,0.9682539682539684,0.0736469915736205,0.0792932622553189,0.0368234957868102,6.745106633062495
2008_2015,2008-01-01,2015-12-31,SPY_ret,regression,fusion,63,0.6031746031746031,0.4871794871794871,0.0113152318539821,0.0162197248352514,0.9206349206349206,0.0767992936180252,0.082067912087912,0.0383996468090126,6.787248781914917
2008_2015,2008-01-01,2015-12-31,SPY_ret,regression,fusion_case,63,0.6349206349206349,0.5208333333333334,0.0111817318638719,0.0155965995064772,0.9523809523809524,0.07502453669178,0.0842109362583303,0.03751226834589,6.709563205873609
2008_2015,2008-01-01,2015-12-31,UUP_ret,regression,baseline,22,0.3181818181818182,0.3181818181818182,0.0068579236614553,0.0082807532658574,0.9545454545454546,0.0249061623369522,0.0227957536791761,0.0124530811684761,3.631735138280464
2008_2015,2008-01-01,2015-12-31,UUP_ret,regression,shock_main,22,0.5,0.5,0.0066861674232419,0.0082292822834282,0.9545454545454546,0.0249061623369522,0.0227957536791761,0.0124530811684761,3.725028220258955
2008_2015,2008-01-01,2015-12-31,UUP_ret,regression,shock_interactions,22,0.4545454545454545,0.4545454545454545,0.0068558352465797,0.0083925997257675,0.9090909090909092,0.0249061623369522,0.0227957536791761,0.0124530811684761,3.632841432322549
2008_2015,2008-01-01,2015-12-31,UUP_ret,regression,rag_memory,22,0.3181818181818182,0.3181818181818182,0.0068918957577515,0.0083730718391174,0.9545454545454546,0.0249061623369522,0.0227957536791761,0.0124530811684761,3.613833292376699
2008_2015,2008-01-01,2015-12-31,UUP_ret,regression,shock_rag,22,0.3636363636363636,0.3636363636363636,0.0070173202867256,0.0084120272570168,0.9090909090909092,0.0249061623369522,0.0227957536791761,0.0124530811684761,3.5492412087939127
2008_2015,2008-01-01,2015-12-31,UUP_ret,regression,case_model,22,0.4545454545454545,0.4545454545454545,0.0065647147317482,0.0080208870739659,0.8636363636363636,0.0239835703933116,0.0227957536791761,0.0119917851966558,3.653406335742582
2008_2015,2008-01-01,2015-12-31,UUP_ret,regression,fusion,22,0.4090909090909091,0.409090909090909,0.0069447700061188,0.0083404216158707,0.9090909090909092,0.0249061623369522,0.0227957536791761,0.0124530811684761,3.586319246714881
2008_2015,2008-01-01,2015-12-31,UUP_ret,regression,fusion_case,22,0.5454545454545454,0.5454545454545454,0.006528092364167,0.0079378096555557,0.9090909090909092,0.024627057153247,0.0227957536791761,0.0123135285766235,3.772473761006478
2016_2019,2016-01-01,2019-12-31,GLD_ret,regression,baseline,33,0.5757575757575758,0.5,0.0080648013060632,0.0095559817762054,1.0,0.0429575514591357,0.0403045454545454,0.0214787757295678,5.326548023798149
2016_2019,2016-01-01,2019-12-31,GLD_ret,regression,shock_main,33,0.4242424242424242,0.3684210526315789,0.0084786660757054,0.0098291624882138,1.0,0.045309930543965,0.0425187898147611,0.0226549652719825,5.343992809646671
2016_2019,2016-01-01,2019-12-31,GLD_ret,regression,shock_interactions,33,0.4848484848484848,0.4492481203007519,0.0083335239032797,0.0097061194639867,1.0,0.0458726836573476,0.04257865,0.0229363418286738,5.504596157610324
2016_2019,2016-01-01,2019-12-31,GLD_ret,regression,rag_memory,33,0.5454545454545454,0.4736842105263157,0.0081053963347194,0.0095633669655129,1.0,0.043858174649636,0.042348875,0.021929087324818,5.410984588350079
2016_2019,2016-01-01,2019-12-31,GLD_ret,regression,shock_rag,33,0.4545454545454545,0.4135338345864662,0.0083928442729483,0.0098466121043287,1.0,0.0453356154550383,0.0428395294117647,0.0226678077275191,5.401698635248486
2016_2019,2016-01-01,2019-12-31,GLD_ret,regression,case_model,33,0.4848484848484848,0.4398496240601504,0.0089927418262232,0.0113416430098225,1.0,0.0623013777171619,0.0623776724978382,0.0311506888585809,6.927962452506825
2016_2019,2016-01-01,2019-12-31,GLD_ret,regression,fusion,33,0.4848484848484848,0.4492481203007519,0.0083080729265468,0.0098493618625305,1.0,0.0453333045891663,0.0428395294117647,0.0226666522945831,5.456536671014597
2016_2019,2016-01-01,2019-12-31,GLD_ret,regression,fusion_case,33,0.4848484848484848,0.4304511278195488,0.0084393748548269,0.0100483301352316,1.0,0.048835528446371,0.0463609886842632,0.0244177642231855,5.786628664614795
2016_2019,2016-01-01,2019-12-31,QQQ_ret,regression,baseline,33,0.4848484848484848,0.5,0.0071659554844086,0.0101040285480246,0.9393939393939394,0.0567281310527463,0.0571445255474452,0.0283640655263731,7.916338745917797
2016_2019,2016-01-01,2019-12-31,QQQ_ret,regression,shock_main,33,0.4848484848484848,0.5,0.0071659554844086,0.0101040285480246,0.9393939393939394,0.0575391318188667,0.0571445255474452,0.0287695659094333,8.029512874320476
2016_2019,2016-01-01,2019-12-31,QQQ_ret,regression,shock_interactions,33,0.4848484848484848,0.5,0.0072007622287561,0.0101603664266143,0.9393939393939394,0.0585403806238646,0.0575413211065192,0.0292701903119323,8.129747763380395
2016_2019,2016-01-01,2019-12-31,QQQ_ret,regression,rag_memory,33,0.4848484848484848,0.5,0.0071353616514304,0.0100842449743576,0.9393939393939394,0.0600861459939738,0.0573458786773635,0.0300430729969869,8.420897065803043
