asset_target,feature_set,task,feature,weight,gain,cover,total_gain,total_cover,weight_share,gain_share,cover_share,total_gain_share,total_cover_share,rank_by_gain
GLD_ret,baseline,regression,GLD_volume,14.0,0.0017498840345069,162.46868286132812,0.0244437713176012,2274.6,0.4666666666666667,0.2649027027498283,0.2007969745746284,0.5251748147067536,0.4674668091577952,1
GLD_ret,baseline,regression,^VIX,8.8,0.0015177871799096,162.51382751464843,0.0133144292980432,1430.4,0.2933333333333333,0.2297671835553296,0.2008527693877904,0.2860607247823097,0.2939701590694233,2
GLD_ret,baseline,regression,DGS10,4.6,0.0013734365580603,161.0366668701172,0.0062697269022464,740.4,0.1533333333333333,0.2079149527117748,0.1990271290049251,0.1347051820018569,0.1521640840149615,3
GLD_ret,baseline,regression,PAYEMS,0.8,0.0009452796308323,129.2,0.0009452796308323,129.2,0.0266666666666666,0.1430992706510447,0.1596798143380351,0.0203093478710051,0.0265526737638209,4
GLD_ret,baseline,regression,T10Y2Y,0.8,0.0003197376383468,65.7,0.0006394752766937,131.4,0.0266666666666666,0.0484028443592216,0.0811994102322671,0.0137391364689023,0.0270048090755888,5
GLD_ret,baseline,regression,DX-Y.NYB,0.4,0.0002317474223673,31.6,0.0004634948447346,63.2,0.0133333333333333,0.0350826210936369,0.0390548152715318,0.0099581940952699,0.0129886144107854,6
GLD_ret,baseline,regression,BAA10Y,0.2,0.0001778413308784,32.8,0.0001778413308784,32.8,0.0066666666666666,0.0269221550007441,0.0405379095223494,0.0038209238164502,0.006740926466357,7
GLD_ret,baseline,regression,QQQ_volume,0.2,0.0001524635823443,32.6,0.0001524635823443,32.6,0.0066666666666666,0.023080395179055,0.0402907271472132,0.0032756824864241,0.0066998232561963,8
GLD_ret,baseline,regression,UUP_volume,0.2,0.0001375839696265,31.2,0.0001375839696265,31.2,0.0066666666666666,0.0208278746993647,0.0385604505212592,0.0029559937710277,0.0064121007850713,9
GLD_ret,baseline,regression,CPIAUCSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
GLD_ret,baseline,regression,DGS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
GLD_ret,baseline,regression,SPY_volume,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
GLD_ret,baseline,regression,UNRATE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13
GLD_ret,baseline,regression,curve_inversion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
GLD_ret,baseline,regression,high_vix_regime,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
GLD_ret,fusion,regression,growth_concern_shock_score_x_vix,2.2,0.0022196140605956,163.33333435058594,0.0047903684433549,359.6,0.0733333333333333,0.2091622819475836,0.1485125133921513,0.0920128319655636,0.0739035718689629,1
GLD_ret,fusion,regression,GLD_volume,9.2,0.0018546388484537,163.28203430175782,0.0167463649064302,1501.4,0.3066666666666666,0.1747693441927148,0.1484658682953687,0.3216622016427223,0.3085617986764766,2
GLD_ret,fusion,regression,interest_rate_path_shock_score_x_vix,13.0,0.0018094239989295,161.77973022460938,0.0234878037124872,2102.8,0.4333333333333333,0.1705085849588052,0.1470998828689175,0.4511509629776271,0.4321591516297423,3
GLD_ret,fusion,regression,financial_stability_shock_score_x_vix,1.6,0.0014602451818063,163.3,0.002289154054597,261.2,0.0533333333333333,0.1376041987892374,0.1484822037911902,0.0439698010413176,0.0536807924698918,4
GLD_ret,fusion,regression,case_direction_agreement_GLD,1.2,0.000950198341161,126.5,0.0014476901851594,189.8,0.04,0.0895406354051986,0.1150214254720487,0.0278070623001975,0.0390069464425171,5
GLD_ret,fusion,regression,DGS10,1.2,0.0007543120766058,97.3,0.0015086241532117,194.6,0.04,0.0710815623510526,0.0884710252840343,0.0289774747704879,0.0399934234863742,6
GLD_ret,fusion,regression,PAYEMS,0.4,0.0004730784101411,65.4,0.0004730784101411,65.4,0.0133333333333333,0.0445798941184887,0.059465622338909,0.0090868342954366,0.0134407497225533,7
GLD_ret,fusion,regression,labor_market_strength_num,0.2,0.0002871206030249,32.6,0.0002871206030249,32.6,0.0066666666666666,0.0270564156125192,0.0296418851414133,0.0055149786728062,0.0066998232561963,8
