query_event_id,statement_embedding_backend,neighbor_rank,neighbor_event_id,hard_filter_z_threshold_used,hard_filter_pool_size,shock_cosine,evidence_cosine,embedding_cosine,neighbor_date,neighbor_SPY_ret,neighbor_GLD_ret,neighbor_QQQ_ret,neighbor_UUP_ret
FOMC_0002,api,1,FOMC_0013,1.5,30,0.6666666666666666,0.117151008939887,0.9257289081727469,2025-06-18,-0.0002,-0.0053856275650212,-0.0002,0.0018
FOMC_0002,api,2,FOMC_0027,1.5,30,0.5659164584181102,0.09373134562034525,0.9224613611749746,2024-07-31,0.0163,0.0181,0.0296,-0.0055
FOMC_0002,api,3,FOMC_0011,1.5,30,0.9245003270420485,0.10760940573016273,0.9211134396903717,2025-07-30,-0.0013,-0.0172734972895408,0.0013,0.0098
FOMC_0003,api,1,FOMC_0019,1.5,27,0.7647058823529411,0.293914405094178,0.966339927185782,2025-01-29,-0.0045,-0.0038404097330004,-0.0019,0.002
FOMC_0003,api,2,FOMC_0036,1.5,27,0.7756315349925288,0.12785100252542667,0.959995339029209,2024-01-31,-0.0163,-0.0007,-0.0196,0.0025
FOMC_0003,api,3,FOMC_0033,1.5,27,0.48507125007266594,0.1068073148111695,0.959828733340418,2024-03-20,0.0092,0.0119,0.0119,-0.0046
FOMC_0005,api,1,FOMC_0007,1.5,28,0.5547001962252291,0.33251440555518413,0.9759805411479855,2025-10-29,0.0005,-0.0037872684129753,0.0045,0.0057
FOMC_0005,api,2,FOMC_0026,1.5,28,0.5962847939999439,0.14662360774187172,0.969731626961017,2024-09-18,-0.003,-0.0077104654052888,-0.0043,0.0011
FOMC_0005,api,3,FOMC_0009,1.5,28,0.6320816298242097,0.2912185378894711,0.9680403761465209,2025-09-17,-0.0012,-0.0077151716641871,-0.002,0.0033
FOMC_0007,api,1,FOMC_0005,1.5,31,0.5547001962252291,0.33251440555518413,0.9759805411479855,2025-12-10,0.0066,0.004259147967166,0.0041,-0.0053
FOMC_0007,api,2,FOMC_0026,1.5,31,0.0,0.28497671655469164,0.9725775951981568,2024-09-18,-0.003,-0.0077104654052888,-0.0043,0.0011
FOMC_0007,api,3,FOMC_0009,1.5,31,0.24273401821882049,0.3717513744477079,0.9704725768034517,2025-09-17,-0.0012,-0.0077151716641871,-0.002,0.0033
FOMC_0009,api,1,FOMC_0026,1.5,29,0.5001181893409724,0.1845397254247679,0.9712610763889954,2024-09-18,-0.003,-0.0077104654052888,-0.0043,0.0011
FOMC_0009,api,2,FOMC_0007,1.5,29,0.24273401821882049,0.3717513744477079,0.9704725768034517,2025-10-29,0.0005,-0.0037872684129753,0.0045,0.0057
FOMC_0009,api,3,FOMC_0005,1.5,29,0.6320816298242097,0.2912185378894711,0.9680403761465209,2025-12-10,0.0066,0.004259147967166,0.0041,-0.0053
FOMC_0011,api,1,FOMC_0013,1.5,30,0.8320502943378437,0.38263419792996983,0.9783343412636394,2025-06-18,-0.0002,-0.0053856275650212,-0.0002,0.0018
FOMC_0011,api,2,FOMC_0015,1.5,30,0.588348405414552,0.1498780487561893,0.9665844710232806,2025-05-07,0.0042,-0.0149930608013485,0.0039,0.0073
FOMC_0011,api,3,FOMC_0009,1.5,30,0.7686577243595982,0.25552313107425534,0.9462319156995884,2025-09-17,-0.0012,-0.0077151716641871,-0.002,0.0033
FOMC_0013,api,1,FOMC_0015,1.5,31,0.7071067811865475,0.13881199248888398,0.9843521309900676,2025-05-07,0.0042,-0.0149930608013485,0.0039,0.0073
FOMC_0013,api,2,FOMC_0011,1.5,31,0.8320502943378437,0.38263419792996983,0.9783343412636394,2025-07-30,-0.0013,-0.0172734972895408,0.0013,0.0098
FOMC_0013,api,3,FOMC_0019,1.5,31,0.0,0.28151868320858164,0.9731894290234029,2025-01-29,-0.0045,-0.0038404097330004,-0.0019,0.002
